Tidsstempel,06/03/2026 12.07.45
Resultat,
novel_id,Fru Marie Grubbe
"Summary #1
Romanen foregår i Danmark fra 1650’erne og frem til begyndelsen af 1700-tallet, med centrale scener på Tjele Hovedgaard i Jylland, i København under svenskekrigene og belejringen, på Frederiksborg Slot, på Akershus i Norge samt senere på Kalø, i Lübeck, på rejse i Europa, og til sidst ved færgestedet Burrehus på Falster. Hovedpersonen er Marie Grubbe, datter af Erik Grubbe til Tjele. Som fjortenårig skildres hun i Tjeles haver og i et spændt hjem med faderen, husholdersken Ane og halvsøsteren Ane. Da krig erklæres (1657), sendes Marie til København for at bo hos sin faster, enken Rigitze Grubbe, hvor hun føler sig ensom og strengt behandlet. I København lærer hun sin fætter Ulrik Frederik Gyldenløve at kende i selskabslivet, mens krigen strammer til og byen går ind i belejring og uro.

Under krigen optræder Ulrik Christian Gyldenløve som berømt forsvarer; Marie bliver optændt af beundring og bindes til ham ved et tvunget kys, men da han senere ligger døende, bryder hendes møde med ham sammen i rædsel, og han dør kort efter. Efter fred og festligheder bliver Marie igen del af det sociale liv; Ulrik Frederik forlover sig først med Sofie Urne, men ægteskabet ophæves ved kongelig ordre, og hun sendes bort. Marie forlovs derefter med Ulrik Frederik og bliver gift med ham (1660), men forholdet kølner, og han rejser til Spanien. Da han vender hjem, forsøger Marie i et anfald at stikke ham med en kniv; efter dette lever de fremmedgjort. På Frederiksborg møder Marie Sti Høg; senere i Norge udarter Ulrik Frederiks liv i skandaler og ydmygelser, og Marie flygter til Tjele. Ægteskabet opløses ved dom i 1670, og Marie rejser ud med Lucie og Sti Høg; efter et voldeligt optrin indleder hun et forhold til Sti, men det går i opløsning i Paris. Senere vender hun udslidt hjem og gifter sig med Palle Dyre (1679), et begivenhedsløst og nedslidende ægteskab. På Tjele knytter hun sig til kusken Søren Ladefoged; efter afsløringer, skudepisoder og retssager skilles hun fra Palle Dyre (1691) og følger Søren. De lever som fattige markedsgøglere og ender ved Burrehus, hvor de arbejder sig op, men Søren dømmes senere til strafarbejde og dør efter hjemkomsten. Marie dør til sidst syg og omtåget og begraves ved hans side. Fortællingen viser gentagne brud mellem stand, ægteskab og begær samt krigens og social kontrols indgreb i privatlivet.
 [Fluency]",4
"Summary #1
Romanen foregår i Danmark fra 1650’erne og frem til begyndelsen af 1700-tallet, med centrale scener på Tjele Hovedgaard i Jylland, i København under svenskekrigene og belejringen, på Frederiksborg Slot, på Akershus i Norge samt senere på Kalø, i Lübeck, på rejse i Europa, og til sidst ved færgestedet Burrehus på Falster. Hovedpersonen er Marie Grubbe, datter af Erik Grubbe til Tjele. Som fjortenårig skildres hun i Tjeles haver og i et spændt hjem med faderen, husholdersken Ane og halvsøsteren Ane. Da krig erklæres (1657), sendes Marie til København for at bo hos sin faster, enken Rigitze Grubbe, hvor hun føler sig ensom og strengt behandlet. I København lærer hun sin fætter Ulrik Frederik Gyldenløve at kende i selskabslivet, mens krigen strammer til og byen går ind i belejring og uro.

Under krigen optræder Ulrik Christian Gyldenløve som berømt forsvarer; Marie bliver optændt af beundring og bindes til ham ved et tvunget kys, men da han senere ligger døende, bryder hendes møde med ham sammen i rædsel, og han dør kort efter. Efter fred og festligheder bliver Marie igen del af det sociale liv; Ulrik Frederik forlover sig først med Sofie Urne, men ægteskabet ophæves ved kongelig ordre, og hun sendes bort. Marie forlovs derefter med Ulrik Frederik og bliver gift med ham (1660), men forholdet kølner, og han rejser til Spanien. Da han vender hjem, forsøger Marie i et anfald at stikke ham med en kniv; efter dette lever de fremmedgjort. På Frederiksborg møder Marie Sti Høg; senere i Norge udarter Ulrik Frederiks liv i skandaler og ydmygelser, og Marie flygter til Tjele. Ægteskabet opløses ved dom i 1670, og Marie rejser ud med Lucie og Sti Høg; efter et voldeligt optrin indleder hun et forhold til Sti, men det går i opløsning i Paris. Senere vender hun udslidt hjem og gifter sig med Palle Dyre (1679), et begivenhedsløst og nedslidende ægteskab. På Tjele knytter hun sig til kusken Søren Ladefoged; efter afsløringer, skudepisoder og retssager skilles hun fra Palle Dyre (1691) og følger Søren. De lever som fattige markedsgøglere og ender ved Burrehus, hvor de arbejder sig op, men Søren dømmes senere til strafarbejde og dør efter hjemkomsten. Marie dør til sidst syg og omtåget og begraves ved hans side. Fortællingen viser gentagne brud mellem stand, ægteskab og begær samt krigens og social kontrols indgreb i privatlivet.
 [Coherence]",4
"Summary #1
Romanen foregår i Danmark fra 1650’erne og frem til begyndelsen af 1700-tallet, med centrale scener på Tjele Hovedgaard i Jylland, i København under svenskekrigene og belejringen, på Frederiksborg Slot, på Akershus i Norge samt senere på Kalø, i Lübeck, på rejse i Europa, og til sidst ved færgestedet Burrehus på Falster. Hovedpersonen er Marie Grubbe, datter af Erik Grubbe til Tjele. Som fjortenårig skildres hun i Tjeles haver og i et spændt hjem med faderen, husholdersken Ane og halvsøsteren Ane. Da krig erklæres (1657), sendes Marie til København for at bo hos sin faster, enken Rigitze Grubbe, hvor hun føler sig ensom og strengt behandlet. I København lærer hun sin fætter Ulrik Frederik Gyldenløve at kende i selskabslivet, mens krigen strammer til og byen går ind i belejring og uro.

Under krigen optræder Ulrik Christian Gyldenløve som berømt forsvarer; Marie bliver optændt af beundring og bindes til ham ved et tvunget kys, men da han senere ligger døende, bryder hendes møde med ham sammen i rædsel, og han dør kort efter. Efter fred og festligheder bliver Marie igen del af det sociale liv; Ulrik Frederik forlover sig først med Sofie Urne, men ægteskabet ophæves ved kongelig ordre, og hun sendes bort. Marie forlovs derefter med Ulrik Frederik og bliver gift med ham (1660), men forholdet kølner, og han rejser til Spanien. Da han vender hjem, forsøger Marie i et anfald at stikke ham med en kniv; efter dette lever de fremmedgjort. På Frederiksborg møder Marie Sti Høg; senere i Norge udarter Ulrik Frederiks liv i skandaler og ydmygelser, og Marie flygter til Tjele. Ægteskabet opløses ved dom i 1670, og Marie rejser ud med Lucie og Sti Høg; efter et voldeligt optrin indleder hun et forhold til Sti, men det går i opløsning i Paris. Senere vender hun udslidt hjem og gifter sig med Palle Dyre (1679), et begivenhedsløst og nedslidende ægteskab. På Tjele knytter hun sig til kusken Søren Ladefoged; efter afsløringer, skudepisoder og retssager skilles hun fra Palle Dyre (1691) og følger Søren. De lever som fattige markedsgøglere og ender ved Burrehus, hvor de arbejder sig op, men Søren dømmes senere til strafarbejde og dør efter hjemkomsten. Marie dør til sidst syg og omtåget og begraves ved hans side. Fortællingen viser gentagne brud mellem stand, ægteskab og begær samt krigens og social kontrols indgreb i privatlivet.
 [Relevance]",4
"Summary #1
Romanen foregår i Danmark fra 1650’erne og frem til begyndelsen af 1700-tallet, med centrale scener på Tjele Hovedgaard i Jylland, i København under svenskekrigene og belejringen, på Frederiksborg Slot, på Akershus i Norge samt senere på Kalø, i Lübeck, på rejse i Europa, og til sidst ved færgestedet Burrehus på Falster. Hovedpersonen er Marie Grubbe, datter af Erik Grubbe til Tjele. Som fjortenårig skildres hun i Tjeles haver og i et spændt hjem med faderen, husholdersken Ane og halvsøsteren Ane. Da krig erklæres (1657), sendes Marie til København for at bo hos sin faster, enken Rigitze Grubbe, hvor hun føler sig ensom og strengt behandlet. I København lærer hun sin fætter Ulrik Frederik Gyldenløve at kende i selskabslivet, mens krigen strammer til og byen går ind i belejring og uro.

Under krigen optræder Ulrik Christian Gyldenløve som berømt forsvarer; Marie bliver optændt af beundring og bindes til ham ved et tvunget kys, men da han senere ligger døende, bryder hendes møde med ham sammen i rædsel, og han dør kort efter. Efter fred og festligheder bliver Marie igen del af det sociale liv; Ulrik Frederik forlover sig først med Sofie Urne, men ægteskabet ophæves ved kongelig ordre, og hun sendes bort. Marie forlovs derefter med Ulrik Frederik og bliver gift med ham (1660), men forholdet kølner, og han rejser til Spanien. Da han vender hjem, forsøger Marie i et anfald at stikke ham med en kniv; efter dette lever de fremmedgjort. På Frederiksborg møder Marie Sti Høg; senere i Norge udarter Ulrik Frederiks liv i skandaler og ydmygelser, og Marie flygter til Tjele. Ægteskabet opløses ved dom i 1670, og Marie rejser ud med Lucie og Sti Høg; efter et voldeligt optrin indleder hun et forhold til Sti, men det går i opløsning i Paris. Senere vender hun udslidt hjem og gifter sig med Palle Dyre (1679), et begivenhedsløst og nedslidende ægteskab. På Tjele knytter hun sig til kusken Søren Ladefoged; efter afsløringer, skudepisoder og retssager skilles hun fra Palle Dyre (1691) og følger Søren. De lever som fattige markedsgøglere og ender ved Burrehus, hvor de arbejder sig op, men Søren dømmes senere til strafarbejde og dør efter hjemkomsten. Marie dør til sidst syg og omtåget og begraves ved hans side. Fortællingen viser gentagne brud mellem stand, ægteskab og begær samt krigens og social kontrols indgreb i privatlivet.
 [Factuality]",5
"Summary #1
Romanen foregår i Danmark fra 1650’erne og frem til begyndelsen af 1700-tallet, med centrale scener på Tjele Hovedgaard i Jylland, i København under svenskekrigene og belejringen, på Frederiksborg Slot, på Akershus i Norge samt senere på Kalø, i Lübeck, på rejse i Europa, og til sidst ved færgestedet Burrehus på Falster. Hovedpersonen er Marie Grubbe, datter af Erik Grubbe til Tjele. Som fjortenårig skildres hun i Tjeles haver og i et spændt hjem med faderen, husholdersken Ane og halvsøsteren Ane. Da krig erklæres (1657), sendes Marie til København for at bo hos sin faster, enken Rigitze Grubbe, hvor hun føler sig ensom og strengt behandlet. I København lærer hun sin fætter Ulrik Frederik Gyldenløve at kende i selskabslivet, mens krigen strammer til og byen går ind i belejring og uro.

Under krigen optræder Ulrik Christian Gyldenløve som berømt forsvarer; Marie bliver optændt af beundring og bindes til ham ved et tvunget kys, men da han senere ligger døende, bryder hendes møde med ham sammen i rædsel, og han dør kort efter. Efter fred og festligheder bliver Marie igen del af det sociale liv; Ulrik Frederik forlover sig først med Sofie Urne, men ægteskabet ophæves ved kongelig ordre, og hun sendes bort. Marie forlovs derefter med Ulrik Frederik og bliver gift med ham (1660), men forholdet kølner, og han rejser til Spanien. Da han vender hjem, forsøger Marie i et anfald at stikke ham med en kniv; efter dette lever de fremmedgjort. På Frederiksborg møder Marie Sti Høg; senere i Norge udarter Ulrik Frederiks liv i skandaler og ydmygelser, og Marie flygter til Tjele. Ægteskabet opløses ved dom i 1670, og Marie rejser ud med Lucie og Sti Høg; efter et voldeligt optrin indleder hun et forhold til Sti, men det går i opløsning i Paris. Senere vender hun udslidt hjem og gifter sig med Palle Dyre (1679), et begivenhedsløst og nedslidende ægteskab. På Tjele knytter hun sig til kusken Søren Ladefoged; efter afsløringer, skudepisoder og retssager skilles hun fra Palle Dyre (1691) og følger Søren. De lever som fattige markedsgøglere og ender ved Burrehus, hvor de arbejder sig op, men Søren dømmes senere til strafarbejde og dør efter hjemkomsten. Marie dør til sidst syg og omtåget og begraves ved hans side. Fortællingen viser gentagne brud mellem stand, ægteskab og begær samt krigens og social kontrols indgreb i privatlivet.
 [Time]",5
"Summary #1
Romanen foregår i Danmark fra 1650’erne og frem til begyndelsen af 1700-tallet, med centrale scener på Tjele Hovedgaard i Jylland, i København under svenskekrigene og belejringen, på Frederiksborg Slot, på Akershus i Norge samt senere på Kalø, i Lübeck, på rejse i Europa, og til sidst ved færgestedet Burrehus på Falster. Hovedpersonen er Marie Grubbe, datter af Erik Grubbe til Tjele. Som fjortenårig skildres hun i Tjeles haver og i et spændt hjem med faderen, husholdersken Ane og halvsøsteren Ane. Da krig erklæres (1657), sendes Marie til København for at bo hos sin faster, enken Rigitze Grubbe, hvor hun føler sig ensom og strengt behandlet. I København lærer hun sin fætter Ulrik Frederik Gyldenløve at kende i selskabslivet, mens krigen strammer til og byen går ind i belejring og uro.

Under krigen optræder Ulrik Christian Gyldenløve som berømt forsvarer; Marie bliver optændt af beundring og bindes til ham ved et tvunget kys, men da han senere ligger døende, bryder hendes møde med ham sammen i rædsel, og han dør kort efter. Efter fred og festligheder bliver Marie igen del af det sociale liv; Ulrik Frederik forlover sig først med Sofie Urne, men ægteskabet ophæves ved kongelig ordre, og hun sendes bort. Marie forlovs derefter med Ulrik Frederik og bliver gift med ham (1660), men forholdet kølner, og han rejser til Spanien. Da han vender hjem, forsøger Marie i et anfald at stikke ham med en kniv; efter dette lever de fremmedgjort. På Frederiksborg møder Marie Sti Høg; senere i Norge udarter Ulrik Frederiks liv i skandaler og ydmygelser, og Marie flygter til Tjele. Ægteskabet opløses ved dom i 1670, og Marie rejser ud med Lucie og Sti Høg; efter et voldeligt optrin indleder hun et forhold til Sti, men det går i opløsning i Paris. Senere vender hun udslidt hjem og gifter sig med Palle Dyre (1679), et begivenhedsløst og nedslidende ægteskab. På Tjele knytter hun sig til kusken Søren Ladefoged; efter afsløringer, skudepisoder og retssager skilles hun fra Palle Dyre (1691) og følger Søren. De lever som fattige markedsgøglere og ender ved Burrehus, hvor de arbejder sig op, men Søren dømmes senere til strafarbejde og dør efter hjemkomsten. Marie dør til sidst syg og omtåget og begraves ved hans side. Fortællingen viser gentagne brud mellem stand, ægteskab og begær samt krigens og social kontrols indgreb i privatlivet.
 [Place]",5
"Summary #1
Romanen foregår i Danmark fra 1650’erne og frem til begyndelsen af 1700-tallet, med centrale scener på Tjele Hovedgaard i Jylland, i København under svenskekrigene og belejringen, på Frederiksborg Slot, på Akershus i Norge samt senere på Kalø, i Lübeck, på rejse i Europa, og til sidst ved færgestedet Burrehus på Falster. Hovedpersonen er Marie Grubbe, datter af Erik Grubbe til Tjele. Som fjortenårig skildres hun i Tjeles haver og i et spændt hjem med faderen, husholdersken Ane og halvsøsteren Ane. Da krig erklæres (1657), sendes Marie til København for at bo hos sin faster, enken Rigitze Grubbe, hvor hun føler sig ensom og strengt behandlet. I København lærer hun sin fætter Ulrik Frederik Gyldenløve at kende i selskabslivet, mens krigen strammer til og byen går ind i belejring og uro.

Under krigen optræder Ulrik Christian Gyldenløve som berømt forsvarer; Marie bliver optændt af beundring og bindes til ham ved et tvunget kys, men da han senere ligger døende, bryder hendes møde med ham sammen i rædsel, og han dør kort efter. Efter fred og festligheder bliver Marie igen del af det sociale liv; Ulrik Frederik forlover sig først med Sofie Urne, men ægteskabet ophæves ved kongelig ordre, og hun sendes bort. Marie forlovs derefter med Ulrik Frederik og bliver gift med ham (1660), men forholdet kølner, og han rejser til Spanien. Da han vender hjem, forsøger Marie i et anfald at stikke ham med en kniv; efter dette lever de fremmedgjort. På Frederiksborg møder Marie Sti Høg; senere i Norge udarter Ulrik Frederiks liv i skandaler og ydmygelser, og Marie flygter til Tjele. Ægteskabet opløses ved dom i 1670, og Marie rejser ud med Lucie og Sti Høg; efter et voldeligt optrin indleder hun et forhold til Sti, men det går i opløsning i Paris. Senere vender hun udslidt hjem og gifter sig med Palle Dyre (1679), et begivenhedsløst og nedslidende ægteskab. På Tjele knytter hun sig til kusken Søren Ladefoged; efter afsløringer, skudepisoder og retssager skilles hun fra Palle Dyre (1691) og følger Søren. De lever som fattige markedsgøglere og ender ved Burrehus, hvor de arbejder sig op, men Søren dømmes senere til strafarbejde og dør efter hjemkomsten. Marie dør til sidst syg og omtåget og begraves ved hans side. Fortællingen viser gentagne brud mellem stand, ægteskab og begær samt krigens og social kontrols indgreb i privatlivet.
 [Characters]",4
"Summary #1
Romanen foregår i Danmark fra 1650’erne og frem til begyndelsen af 1700-tallet, med centrale scener på Tjele Hovedgaard i Jylland, i København under svenskekrigene og belejringen, på Frederiksborg Slot, på Akershus i Norge samt senere på Kalø, i Lübeck, på rejse i Europa, og til sidst ved færgestedet Burrehus på Falster. Hovedpersonen er Marie Grubbe, datter af Erik Grubbe til Tjele. Som fjortenårig skildres hun i Tjeles haver og i et spændt hjem med faderen, husholdersken Ane og halvsøsteren Ane. Da krig erklæres (1657), sendes Marie til København for at bo hos sin faster, enken Rigitze Grubbe, hvor hun føler sig ensom og strengt behandlet. I København lærer hun sin fætter Ulrik Frederik Gyldenløve at kende i selskabslivet, mens krigen strammer til og byen går ind i belejring og uro.

Under krigen optræder Ulrik Christian Gyldenløve som berømt forsvarer; Marie bliver optændt af beundring og bindes til ham ved et tvunget kys, men da han senere ligger døende, bryder hendes møde med ham sammen i rædsel, og han dør kort efter. Efter fred og festligheder bliver Marie igen del af det sociale liv; Ulrik Frederik forlover sig først med Sofie Urne, men ægteskabet ophæves ved kongelig ordre, og hun sendes bort. Marie forlovs derefter med Ulrik Frederik og bliver gift med ham (1660), men forholdet kølner, og han rejser til Spanien. Da han vender hjem, forsøger Marie i et anfald at stikke ham med en kniv; efter dette lever de fremmedgjort. På Frederiksborg møder Marie Sti Høg; senere i Norge udarter Ulrik Frederiks liv i skandaler og ydmygelser, og Marie flygter til Tjele. Ægteskabet opløses ved dom i 1670, og Marie rejser ud med Lucie og Sti Høg; efter et voldeligt optrin indleder hun et forhold til Sti, men det går i opløsning i Paris. Senere vender hun udslidt hjem og gifter sig med Palle Dyre (1679), et begivenhedsløst og nedslidende ægteskab. På Tjele knytter hun sig til kusken Søren Ladefoged; efter afsløringer, skudepisoder og retssager skilles hun fra Palle Dyre (1691) og følger Søren. De lever som fattige markedsgøglere og ender ved Burrehus, hvor de arbejder sig op, men Søren dømmes senere til strafarbejde og dør efter hjemkomsten. Marie dør til sidst syg og omtåget og begraves ved hans side. Fortællingen viser gentagne brud mellem stand, ægteskab og begær samt krigens og social kontrols indgreb i privatlivet.
 [Plot]",4
