Tidsstempel,06/04/2026 22.16.29
novel_id,Fru Marie Grubbe
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Fluency]",4
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Coherence]",4
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Relevance]",3
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Factuality]",3
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Time]",5
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Place]",5
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Characters]",5
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Plot]",5
"Summary #1

Handlingen udspiller sig fra midten af 1600-tallet til begyndelsen af 1700-tallet. Marie Grubbe vokser op som adelsdatter på Tjele Hovedgård i Jylland i et miljø præget af rang, ære og social kontrol. Efter konflikter sendes hun til København for at bo hos sin faster, enken fru Rigitze Grubbe ved Østergade/Pilestræde. Under svenskernes belejring 1658–59 oplever hun byens uro og kommer i berøring med hoffets kredse omkring kongens uægte sønner, Ulrik Frederik og Ulrik Christian Gyldenløve. Marie drages især af Ulrik Christian, som tiltvinger sig en brutal nærhed til hende, men han dør kort efter, og hun reagerer med sammenbrud og religiøs selvpineri, før hun igen føres ind i selskabslivet og knyttes til Ulrik Frederik.

Trods skandale om hans tidligere, ophævede ægteskab bliver Marie og Ulrik Frederik viet i stilhed 16. december 1660. Han rejser siden i spansk tjeneste og opsøger alkymisten Burrhi i Amsterdam, der advarer om en fare før hans 27. år knyttet til en kvindes hånd. Da Ulrik Frederik vender tilbage efter lang tid, er han fordrukken og hård, og et knivoptrin, hvor Marie i affekt hugger mod ham men kun rammer hans ærme, bliver et tegn på deres fjendtlige samliv. Ved hoffets ophold på Frederiksborg i 1663 uddybes Maries relation til svogeren Sti Høg, og i 1664 flytter hun med Ulrik Frederik til Akershus i Norge, hvor han er statholder. Ægteskabet forværres, ikke mindst da han åbent tager elskerinden Karen Fiol ind på slottet; Marie flygter om natten med skib tilbage til Danmark. Efter ophold på Tjele og i København fører faderen, Erik Grubbe, sag mod Ulrik Frederik; Marie medvirker udadtil, men skriver også privat til kongen med ønske om skilsmisse. Ved dom 14. oktober 1670 opløses ægteskabet, og hun får medgift og 12.000 rigsdaler tilbage.

Marie rejser sydpå med kammerpigen Lucie og Sti Høg som rejsemarskal. I Lübeck og videre mod syd indleder hun efter et voldeligt krooptrin i Lohendorf et forhold til Sti, men efter et halvt år i Paris ender det i bitterhed og skam. Hun slår sig ned i Nürnberg, hvor hun møder den unge, rige adelsmand Remigius, som tilbeder hende; han dør i en rideulykke, og hun falder i tung sorg. Hjemrejsen ender i økonomisk ruin, og foråret 1673 vender hun tilbage til Tjele.

I 1679 gifter Marie sig med justitsråd Palle Dyre i et hverdagspræget ægteskab uden fortrolighed. I 1680’erne indleder hun et bindende forhold til kusken og ladefogeden Søren, som svinger mellem hengivenhed, mistro og råhed. Affæren bliver gennemskuet af tyendet og fortsætter i praksis åbent, mens Erik Grubbe forgæves forsøger at standse den. Da Palle Dyre kommer hjem til jul, foregiver Søren et forhold til bryggerspigen Ane Trinderup, men i et optrin skyder han hende med rævehagl, så hun såres. Søren fanges og sættes i arrest i Skanderborg, bryder senere ud og holder til på Gassum Hede, hvor han igen opsøger Marie og modtager hjælp. I august 1690 beder Erik Grubbe kongen om at gøre Marie arveløs og få hende indespærret; dette afslås. Palle søger skilsmisse uden proces, får afslag, men ægtefolkene dømmes skilt 23. marts 1691, mens Marie holdes under bevogtning på Tjele indtil sagens afslutning. Erotiske bindinger, social skandale og magtkampe mellem familie, ægtefæller og tjenestefolk driver forløbet.
 [Themes]",4
